velocidad_balax,bala_h_x,velocidad_balay,bala_v_y,accion_horizontal,salto
-3,667,5,235,0,0
-3,639,5,240,1,0
-3,636,5,245,1,0
-3,633,5,250,0,0
-3,630,5,255,0,0
-3,627,5,260,0,0
-3,624,5,265,0,0
-3,621,5,270,0,0
-3,618,5,275,0,0
-3,615,5,280,0,0
-3,612,5,285,0,0
-3,609,5,290,0,0
-3,606,5,295,0,0
-3,603,5,300,0,0
-3,600,5,305,0,0
-3,597,5,310,0,0
-3,594,5,315,0,0
-3,591,5,320,0,0
-3,588,5,325,0,0
-3,585,5,330,0,0
-3,582,5,335,0,0
-3,579,5,340,0,0
-3,576,5,345,0,0
-3,573,5,350,0,0
-3,570,5,355,0,0
-3,567,5,360,0,0
-3,564,5,365,0,0
-3,561,5,370,0,0
-3,558,5,375,0,0
-3,555,5,380,0,0
-3,552,5,385,0,0
-3,574,5,390,0,0
-3,571,5,395,0,0
-3,568,5,400,0,0
-3,565,5,0,0,0
-3,562,5,5,0,0
-3,559,5,10,0,0
-3,556,5,15,0,0
-3,553,5,20,0,0
-3,550,5,25,0,0
-3,547,5,30,0,0
-3,544,5,35,0,0
-3,541,5,40,0,0
-3,538,5,45,0,0
-3,535,5,50,0,0
-3,532,5,55,0,0
-3,529,5,60,0,0
-3,526,5,65,0,0
-3,523,5,70,0,0
-3,520,5,75,0,0
-3,517,5,80,0,0
-3,514,5,85,0,0
-3,511,5,90,0,0
-3,508,5,95,0,0
-3,505,5,100,0,0
-3,502,5,105,0,0
-3,499,5,110,0,0
-3,496,5,115,0,0
-3,493,5,120,0,0
-3,490,5,125,0,0
-3,487,5,130,0,0
-3,484,5,135,0,0
-3,481,5,140,0,0
-3,478,5,145,0,0
-3,475,5,150,0,0
-3,472,5,155,0,0
-3,469,5,160,0,0
-3,466,5,165,0,0
-3,463,5,170,0,0
-3,460,5,175,0,0
-3,457,5,180,0,0
-3,454,5,185,0,0
-3,451,5,190,0,0
-3,448,5,195,0,0
-3,420,5,200,1,0
-3,417,5,205,1,0
-3,414,5,210,0,0
-3,411,5,215,0,0
-3,408,5,220,0,0
-3,405,5,225,0,0
-3,402,5,230,0,0
-3,399,5,235,0,0
-3,396,5,240,0,0
-3,393,5,245,0,0
-3,390,5,250,0,0
-3,387,5,255,0,0
-3,384,5,260,0,0
-3,381,5,265,0,0
-3,378,5,270,0,0
-3,375,5,275,0,0
-3,372,5,280,0,0
-3,369,5,285,0,0
-3,366,5,290,0,0
-3,363,5,295,0,0
-3,360,5,300,0,0
-3,357,5,305,0,0
-3,354,5,310,0,0
-3,351,5,315,0,0
-3,348,5,320,0,0
-3,345,5,325,0,0
-3,342,5,330,0,0
-3,339,5,335,0,0
-3,336,5,340,0,0
-3,333,5,345,0,0
-3,355,5,350,0,0
-3,352,5,355,0,0
-3,349,5,360,0,0
-3,346,5,365,0,0
-3,343,5,370,0,0
-3,340,5,375,0,0
-3,337,5,380,0,0
-3,334,5,385,0,0
-3,331,5,390,0,0
-3,328,5,395,0,0
-3,325,5,400,0,0
-3,322,5,0,0,0
-3,319,5,5,0,0
-3,316,5,10,0,0
-3,313,5,15,0,0
-3,310,5,20,0,0
-3,307,5,25,0,0
-3,304,5,30,0,0
-3,301,5,35,0,0
-3,298,5,40,0,0
-3,295,5,45,0,0
-3,292,5,50,0,0
-3,289,5,55,0,0
-3,286,5,60,0,0
-3,283,5,65,0,0
-3,280,5,70,0,0
-3,277,5,75,0,0
-3,274,5,80,0,0
-3,271,5,85,0,0
-3,268,5,90,0,0
-3,265,5,95,0,0
-3,262,5,100,0,0
-3,259,5,105,0,0
-3,256,5,110,0,0
-3,253,5,115,0,0
-3,250,5,120,0,0
-3,247,5,125,0,0
-3,244,5,130,0,0
-3,241,5,135,0,0
-3,238,5,140,0,0
-3,235,5,145,0,0
-3,232,5,150,0,0
-3,229,5,155,0,0
-3,226,5,160,0,0
-3,223,5,165,0,0
-3,220,5,170,0,0
-3,217,5,175,0,0
-3,214,5,180,0,0
-3,211,5,185,0,0
-3,208,5,190,0,0
-3,205,5,195,0,0
-3,202,5,200,0,0
-3,199,5,205,0,0
-3,196,5,210,0,0
-3,168,5,215,1,0
-3,165,5,220,1,0
-3,162,5,225,1,0
-3,159,5,230,1,0
-3,156,5,235,0,0
-3,153,5,240,0,0
-3,150,5,245,0,0
-3,147,5,250,0,0
-3,144,5,255,0,0
-3,141,5,260,0,0
-3,138,5,265,0,0
-3,135,5,270,0,0
-3,132,5,275,0,0
-3,129,5,280,0,0
-3,126,5,285,0,0
-3,123,5,290,0,0
-3,120,5,295,0,0
-3,117,5,300,0,0
-3,114,5,305,0,0
-3,111,5,310,0,0
-3,108,5,315,0,0
-3,105,5,320,0,0
-3,102,5,325,0,0
-3,99,5,330,0,0
-3,96,5,335,0,0
-3,93,5,340,0,0
-3,90,5,345,0,0
-3,87,5,350,0,0
-3,84,5,355,0,0
-3,81,5,360,0,0
-3,103,5,365,0,0
-3,100,5,370,0,0
-3,97,5,375,0,0
-3,94,5,380,0,0
-3,91,5,385,0,0
-3,88,5,390,0,0
-3,85,5,395,0,0
-3,82,5,400,0,0
-3,79,5,0,0,0
-3,76,5,5,0,0
-3,73,5,10,0,0
-3,70,5,15,0,0
-3,67,5,20,0,0
-3,64,5,25,0,0
-3,61,5,30,0,0
-3,58,5,35,0,0
-3,55,5,40,0,1
-3,52,5,45,0,1
-3,49,5,50,0,1
-3,46,5,55,0,1
-3,43,5,60,0,1
-3,40,5,65,0,1
-3,37,5,70,0,1
-3,34,5,75,0,1
-3,31,5,80,0,1
-3,28,5,85,0,1
-3,25,5,90,0,1
-3,22,5,95,0,1
-3,19,5,100,0,1
-3,16,5,105,0,1
-3,13,5,110,0,1
-3,10,5,115,0,1
-3,7,5,120,0,1
-3,4,5,125,0,1
-3,1,5,130,0,1
-3,-2,5,135,0,1
-3,-5,5,140,0,1
-3,-8,5,145,0,1
-3,-11,5,150,0,1
-3,-14,5,155,0,1
-3,-17,5,160,0,1
-3,-20,5,165,0,1
-3,-23,5,170,0,1
-3,-26,5,175,0,1
-3,-29,5,180,0,1
-3,-32,5,185,0,1
-3,-35,5,190,0,0
-3,-38,5,195,0,0
-3,-41,5,200,0,0
-3,-44,5,205,0,0
-3,-47,5,210,0,0
-3,-50,5,215,0,0
-5,700,5,220,0,0
-5,695,5,225,0,0
-5,690,5,230,0,0
-5,685,5,235,0,0
-5,680,5,240,0,0
-5,650,5,245,1,0
-5,645,5,250,1,0
-5,640,5,255,1,0
-5,635,5,260,0,0
-5,630,5,265,0,0
-5,625,5,270,0,0
-5,620,5,275,0,0
-5,615,5,280,0,0
-5,610,5,285,0,0
-5,605,5,290,0,0
-5,600,5,295,0,0
-5,595,5,300,0,0
-5,590,5,305,0,0
-5,585,5,310,0,0
-5,580,5,315,0,0
-5,575,5,320,0,0
-5,570,5,325,0,0
-5,565,5,330,0,0
-5,560,5,335,0,0
-5,555,5,340,0,0
-5,550,5,345,0,0
-5,545,5,350,0,0
-5,540,5,355,0,0
-5,535,5,360,0,0
-5,530,5,365,0,0
-5,525,5,370,0,0
-5,520,5,375,0,0
-5,515,5,380,0,0
-5,510,5,385,0,0
-5,505,5,390,0,0
-5,525,5,395,0,0
-5,520,5,400,0,0
-5,515,5,0,0,0
-5,510,5,5,0,0
-5,505,5,10,0,0
-5,500,5,15,0,0
-5,495,5,20,0,0
-5,490,5,25,0,0
-5,485,5,30,0,0
-5,480,5,35,0,0
-5,475,5,40,0,0
-5,470,5,45,0,0
-5,465,5,50,0,0
-5,460,5,55,0,0
-5,455,5,60,0,0
-5,450,5,65,0,0
-5,445,5,70,0,0
-5,440,5,75,0,0
-5,435,5,80,0,0
-5,430,5,85,0,0
-5,425,5,90,0,0
-5,420,5,95,0,0
-5,415,5,100,0,0
-5,410,5,105,0,0
-5,405,5,110,0,0
-5,400,5,115,0,0
-5,395,5,120,0,0
-5,390,5,125,0,0
-5,385,5,130,0,0
-5,380,5,135,0,0
-5,375,5,140,0,0
-5,370,5,145,0,0
-5,365,5,150,0,0
-5,360,5,155,0,0
-5,355,5,160,0,0
-5,350,5,165,0,0
-5,345,5,170,0,0
-5,340,5,175,0,0
-5,335,5,180,0,0
-5,330,5,185,0,0
-5,325,5,190,0,0
-5,320,5,195,0,0
-5,315,5,200,0,0
-5,310,5,205,0,0
-5,305,5,210,0,0
-5,300,5,215,0,0
-5,295,5,220,0,0
-5,265,5,225,1,0
-5,260,5,230,1,0
-5,255,5,235,1,0
-5,250,5,240,1,0
-5,245,5,245,0,0
-5,240,5,250,0,0
-5,235,5,255,0,0
-5,230,5,260,0,0
-5,225,5,265,0,0
-5,220,5,270,0,0
-5,215,5,275,0,0
-5,210,5,280,0,0
-5,205,5,285,0,0
-5,200,5,290,0,0
-5,195,5,295,0,0
-5,190,5,300,0,0
-5,185,5,305,0,0
-5,180,5,310,0,0
-5,175,5,315,0,0
-5,170,5,320,0,0
-5,165,5,325,0,0
-5,160,5,330,0,0
-5,155,5,335,0,0
-5,150,5,340,0,0
-5,145,5,345,0,0
-5,140,5,350,0,0
-5,135,5,355,0,0
-5,130,5,360,0,0
-5,125,5,365,0,0
-5,120,5,370,0,0
-5,140,5,375,0,0
-5,135,5,380,0,0
-5,130,5,385,0,0
-5,125,5,390,0,0
-5,120,5,395,0,0
-5,115,5,400,0,0
-5,110,5,0,0,0
-5,105,5,5,0,0
-5,100,5,10,0,0
-5,95,5,15,0,0
-5,90,5,20,0,0
-5,85,5,25,0,0
-5,80,5,30,0,0
